time,west_sst,east_sst,raw_contrast,month,year,west_clim_sst,east_clim_sst,clim_raw_contrast,baseline_n,west_ssta,east_ssta,zsci_monthly,zsci_from_components,zsci_smoothed_5m
1988-09-01,28.518665364784166,23.967660674869265,-4.551004689914901,9,1988,28.809879111961003,24.910017659108487,-3.8998614528525137,30,-0.2912137471768368,-0.9423569842392219,-0.6511432370623873,-0.6511432370623851,-0.8492031107212292
1988-10-01,28.093037031132376,23.450561858687728,-4.642475172444648,10,1988,28.92041281342971,24.935688103711282,-3.984724709718428,30,-0.8273757822973344,-1.4851262450235545,-0.6577504627262201,-0.6577504627262201,-0.7000180577597083
1988-11-01,27.972519003148005,23.360345785718277,-4.612173217429728,11,1988,28.9739795748146,25.013209584956392,-3.960769989858201,30,-1.0014605716665947,-1.6528637992381157,-0.6514032275715267,-0.6514032275715209,-0.647248604568122
1988-12-01,27.752443533683806,23.44227586945389,-4.310167664229915,12,1988,28.778553990862857,25.16765573708327,-3.61089825377959,30,-1.0261104571790511,-1.7253798676293783,-0.6992694104503254,-0.6992694104503272,-0.5791981021211456
1989-01-01,27.57507239439924,24.252294442391953,-3.3227779520072858,1,1989,28.528958647172125,25.645348183104172,-2.883610464067951,29,-0.953886252772886,-1.3930537407122188,-0.4391674879393346,-0.4391674879393328,-0.471814954412672
1989-02-01,27.65753568620141,25.398804738977333,-2.258730947224077,2,1989,28.397628123556167,26.362734150725736,-2.0348939728304347,29,-0.7400924373547575,-0.9639294117484027,-0.22383697439364214,-0.22383697439364525,-0.3932989165157529
1989-03-01,27.88766499452699,25.873918590350424,-2.0137464041765654,3,1989,28.505902064828412,26.97654277974315,-1.5293592850852682,29,-0.6182370703014222,-1.1026241893927242,-0.48438711909129717,-0.48438711909130205,-0.38716681736691055
1989-04-01,28.268759209739134,26.381179383244593,-1.887579826494541,4,1989,28.76753315769216,27.234259200269864,-1.533273957422295,29,-0.4987739479530262,-0.8530798170252716,-0.3543058690722458,-0.35430586907224537,-0.36846583204475
1989-05-01,28.719700702410844,26.065084828438902,-2.6546158739719417,5,1989,29.001680842735148,26.88192228246395,-2.119758560271202,29,-0.2819801403243041,-0.8168374540250483,-0.5348573137007397,-0.5348573137007442,-0.2461894981892853
1989-06-01,28.36207066384303,25.977140069886058,-2.384930593956973,6,1989,28.95491155394823,26.292777195469522,-2.6621343584787094,29,-0.5928408901051974,-0.31563712558346424,0.27720376452173623,0.2772037645217331,-0.11834447589128272
1989-07-01,28.48427754564978,25.177383157517497,-3.3068943881322816,7,1989,28.791823880710215,25.584080783303573,-3.207743097406643,29,-0.3075463350604366,-0.4066976257860766,-0.09915129072563866,-0.09915129072564,-0.10137934715659776
1989-08-01,28.439956957790336,24.488741101534554,-3.951215856255782,8,1989,28.7117226587842,25.033123888959377,-3.6785987698248257,29,-0.2717657009938641,-0.5443827874248228,-0.2726170864309565,-0.2726170864309587,-0.19578061785210774
1989-09-01,28.733703129397497,24.534991952996766,-4.198711176400732,9,1989,28.809879111961003,24.910017659108487,-3.8998614528525137,30,-0.07617598256350533,-0.37502570611172104,-0.2988497235482179,-0.2988497235482157,-0.26665666037726177
1989-10-01,28.80195604007964,24.47513154015958,-4.326824499920061,10,1989,28.92041281342971,24.935688103711282,-3.984724709718428,30,-0.11845677335006854,-0.4605565635517017,-0.34209979020163317,-0.34209979020163317,-0.2524051065728537
1989-11-01,28.49206366027812,24.470114560709057,-4.021949099569063,11,1989,28.9739795748146,25.013209584956392,-3.960769989858201,30,-0.4819159145364793,-0.5430950242473358,-0.06117910971086227,-0.061179109710856494,-0.23790073681424057
1989-12-01,28.667002682150606,24.748345896511502,-3.9186567856391044,12,1989,28.778553990862857,25.16765573708327,-3.61089825377959,30,-0.11155130871225083,-0.419309840571767,-0.3077585318595144,-0.3077585318595162,-0.2583004137468949
1990-01-01,28.536575097194984,25.291296919931256,-3.245278177263728,1,1990,28.528958647172125,25.645348183104172,-2.883610464067951,29,0.007616450022858601,-0.35405126317291646,-0.36166771319577684,-0.36166771319577506,-0.31164037512522746
